ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x24262,CUS_0xb1d5,May,Karen Brettellz,36,574-08-1112,Developer,70144.54,5665.378333333332,3,3,14,3,"Student Loan, Mortgage Loan, and Auto Loan",28,11,11.95,5.0,Standard,819.99,32.98515450859097,15 Years and 8 Months,Yes,156.99238767801847,86.01154612118715,High_spent_Medium_value_payments,573.5338995341276,Poor
0xe7ca,CUS_0xab61,May,Eveline Danubratac,30_,289-57-5410,Teacher,27099.11,2110.2591666666667,8,4,8,0,,10,16,6.59,2.0,_,186.93,31.452472300073428,17 Years and 9 Months,No,0.0,266.3124765513016,Low_spent_Small_value_payments,234.71344011536502,Standard
0x6da0,CUS_0x5ae,March,Scotty,15,953-45-4455,Musician,47752.38,,8,6,28,6,"Not Specified, Personal Loan, Auto Loan, Student Loan, Credit-Builder Loan, and Student Loan",21,17,13.13,12.0,Standard,1801.77,34.75598826501965,16 Years and 5 Months,NM,166.37574402655838,168.59893652060538,High_spent_Medium_value_payments,337.76181945283616,Poor
0xb15f,CUS_0xb9d8,June,Dena Aubine,28,220-53-7123,Musician,51950.28,4218.19,7,187,21,7,"Debt Consolidation Loan, Auto Loan, Student Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, and Not Specified",24,11,11.71,9.0,Standard,1723.13,36.76185177932104,18 Years and 7 Months,NM,235.1353203377228,164.19865053378368,Low_spent_Large_value_payments,292.4850291284935,Poor
0x70b9,CUS_0x1e96,April,Henryt,29,#F%$D@*&8,_______,17187.27,1589.2725,10,7,24,8,"Debt Consolidation Loan, Payday Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Student Loan",54,17_,7.79,8.0,Bad,4962.25,36.79506654029175,4 Years and 8 Months,NM,90.56454168926052,__10000__,Low_spent_Medium_value_payments,193.7484005054292,Poor
0x1f44b,CUS_0x9a2c,June,Polina Devittv,24,485-92-4277,Writer,29280.44,2237.716497885463,2,5,3,0,,28,3,11.93,5.0,Good,93.91,39.58369464017184,21 Years and 1 Months,No,220.32016878120345,236.962430931188,Low_spent_Small_value_payments,298.84123573547873,Standard
0x22356,CUS_0x5204,January,Kiml,37,503-20-4145,Developer,39706.44,3387.870000000001,10,8,30,8,"Payday Loan, Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Personal Loan, Home Equity Loan, and Personal Loan",34,18,29.21,6.0,Bad,4577.54,36.72024992889367,6 Years and 9 Months,Yes,255.7272048329209,48.7856211547388,High_spent_Medium_value_payments,284.2741740123403,Poor
0x186d9,CUS_0xb8af,August,Deyg,39,641-83-1438,Journalist,59893.26_,5052.105000000001,6,3,9,1,Auto Loan,11,19,3.89,2.0,Good,1457.41,31.951018832504975,21 Years and 8 Months,NM,40.78819745724682,150.61214767577857,High_spent_Small_value_payments,573.8101548669747,Good
0x7ae4,CUS_0x38e3,March,Bosleyx,35_,289-42-3489,Developer,61654.32,,4,3,12,1,Not Specified,10,17,6.01,4.0,_,340.42,26.097478231567468,15 Years and 7 Months,Yes,30.03102776506023,280.98935190947236,Low_spent_Medium_value_payments,486.6656203254674,Standard
0x1adc6,CUS_0x4b17,January,Strupczewskim,37,162-49-4391,Writer,74169.76,6174.813333333333,9,7,27,-100,"Student Loan, and Auto Loan",32,24,7.79,11.0,Bad,2529.47,32.256171882953,,Yes,87.82539137238996,234.7560054076068,Low_spent_Large_value_payments,564.8999365533366,Standard
0x237b5,CUS_0x25a7,August,Catherine Bosleyb,20,984-06-5567,Media_Manager,36029.3,3057.441666666667,6,6,32,8_,"Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Not Specified",23,17,-1.2800000000000002,11.0,_,2608.97,37.764007747678,4 Years and 2 Months,Yes,141.8851325215566,90.72121796778856,High_spent_Medium_value_payments,323.1378161773215,Standard
0x175af,CUS_0x57c2,June,,47,045-47-7252,Journalist,30789.41_,2498.629093019256,5,4,4,0,,10,1191,5.0,0.0,Good,529.7,24.862110042780515,31 Years and 10 Months,No,209.15507364741103,126.83760187771506,Low_spent_Large_value_payments,413.94081478895174,Good
0x19ad8,CUS_0x1a4d,March,Adegokei,25_,056-47-9727,Accountant,70646.64,6135.22,4,533,21,7,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Credit-Builder Loan",24,8,19.35,7.0,Standard,1639.04,37.3539018007906,16 Years and 0 Months,Yes,351.55436415462003,546.5036697394763,Low_spent_Medium_value_payments,,Poor
0x1e7ea,CUS_0x5d5c,May,arry Moodye,50,754-88-1234,Engineer,43995.95,3432.3291666666664,4,3,11,0,,7,,0.83,5.0,Good,1233.56,39.544722400842936,27 Years and 8 Months,No,0.0,77.23872883884523,High_spent_Medium_value_payments,515.9941878278214,Poor
0x11c6a,CUS_0x376b,January,Pallavii,25,#F%$D@*&8,Architect,81779.54,6601.961666666666,857,7,7,0,,30,5,4.36,2.0,Good,824.62,32.50516406516365,24 Years and 1 Months,No,0.0,137.08498240390622,High_spent_Medium_value_payments,773.1111842627603,Poor
